City,Population
Shanghai,22.315.474
Beijing,11.716.620
Tianjin,11.090.314
Guangzhou,11.071.424
Shenzhen,10.358.381
Wuhan,9.785.388
Dongguan,8.000.000
Chongqing,7.457.600
Chengdu,7.415.590
Nanjing,7.165.292
Nanchong,7.150.000
Xi'an,6.501.190
Shenyang,6.255.921
Hangzhou,6.241.971
Harbin,5.878.939
Tai'an,5.499.000
Suzhou,5.345.961
Shantou,5.329.024
Jinan,4.335.989
Zhengzhou,4.253.913
Changchun,4.193.073
Dalian,4.087.733
Kunming,3.855.346
Qingdao,3.718.835
Foshan,3.600.000
Puyang,3.590.000
Wuxi,3.543.719
Xiamen,3.531.347
Tianshui,3.500.000
Ningbo,3.491.597
Shiyan,3.460.000
Taiyuan,3.426.519
Tangshan,3.372.102
Hefei,3.310.268
Zibo,3.129.228
Zhongshan,3.121.275
Changsha,3.093.980
Urumqi,3.029.372
Shijiazhuang,2.834.942
Lanzhou,2.628.426
Yunfu,2.612.800
Nanchang,2.357.839
Dadonghai,2.000.000
Ordos,1.940.653
Jilin,1.881.977
Bayan Nur,1.760.000
Kunshan,1.600.000
Xinyang,1.590.668
Fushun,1.400.646
Luoyang,1.390.581
Guankou,1.380.000
Handan,1.358.318
Baotou,1.301.768
Xuchang,1.265.536
Yueyang,1.200.000
Anshan,1.199.275
Tongshan,1.199.193
Fuzhou,1.179.720
Guiyang,1.171.633
Lijiang,1.137.600
Datong,1.052.678
Changshu City,1.047.700
Xianyang,1.034.081
Huainan,1.027.655
Jieyang,1.001.985
Zhu Cheng City,1.000.000
Baoding,995.652
Benxi,987.717
Changzhou,949.018
Huaibei,903.039
Kaifeng,900.000
Pingdingshan,889.675
Qiqihar,882.364
Wenzhou,865.672
Zhabei,840.000
Nanning,803.788
Anyang,781.129
Hohhot,774.477
Shangyu,770.000
Xining,767.531
Qinhuangdao,759.718
Hengyang,759.602
Xinxiang,743.601
Hegang,743.307
Langfang,720.119
Zhumadian,720.000
Yantai,719.332
Zhuzhou,709.358
Changzhi,699.514
Zhangjiakou,692.602
Zigong,689.961
Fuxin,689.050
Huangshi,688.090
Liaoyang,687.890
Xiangtan,674.189
Puyang Chengguanzhen,666.322
Nantong,666.251
Mudanjiang,665.915
Guilin,649.352
Zhanjiang,637.790
Zhenjiang,632.552
Dandong,631.973
Shaoguan,628.749
Yancheng,628.441
Panshan,625.040
Haikou,615.835
Taizhou,612.356
Xingtai,611.739
Jinzhou,604.269
Shuangyashan,600.000
Luancheng,597.130
Yingkou,591.159
Zhangzhou,589.831
Bengbu,576.648
Shihezi,572.772
Siping,555.609
Huai'an,555.230
Jiamusi,549.549
Neijiang,546.854
Yangzhou,539.715
Guli,536.000
Tanggu,535.298
Jiangmen,532.419
Cangzhou,527.681
Changde,517.780
Jiaozuo,517.540
Tonghua,510.000
Wuhu,507.524
Zhuhai,501.199
Shashi,498.780
Wuwei,493.092
Qionghai,480.000
Yichang,476.725
Yinchuan,475.101
Jiaojiang,470.804
Zunyi,466.292
Jiaxing,466.101
Liaoyuan,465.249
Xiangyang,462.956
Dadukou,461.513
Hengshui,456.356
Jining,450.327
Wenshan City,450.000
Chengde,449.325
Bei'an,436.444
Luqiao,427.890
Chaozhou,424.787
Shaoxing,421.283
Luohe,417.356
Yangquan,413.394
Chaoyang,410.005
Jixi,403.759
Yangjiang,399.735
Weifang,394.732
Xinpu,392.444
Dezhou,379.555
Zhoukou,377.061
Putian,376.558
Zhangjiakou Shi Xuanhua Qu,373.422
Pingxiang,372.123
Fenghuang,370.000
Zhaoqing,361.969
Huocheng,360.000
Anqing,358.661
Anshun,351.936
Chifeng,346.654
Taihecun,345.033
Shiqi,342.306
Aksu,340.020
Tieling,333.907
Jincheng,332.650
Yanji,326.957
Suizhou,323.945
Shangrao,318.769
Baicheng,316.970
Lianshan,313.247
Wusong,312.588
Jingdezhen,310.565
Shengli,306.450
Xinyuan,300.000
Yangshuo,300.000
Xiuying,290.000
Beihai,289.568
Huizhou,289.201
Chuzhou,280.582
Kashgar,274.717
Linyi,270.669
Chengzhong,265.886
