City,Population
Mumbai,12.691.836
Delhi,10.927.986
Bengaluru,5.104.047
Kolkata,4.631.392
Chennai,4.328.063
Ahmedabad,3.719.710
Hyderabad,3.597.816
Pune,2.935.744
Surat,2.894.504
Kanpur,2.823.249
Jaipur,2.711.758
Navi Mumbai,2.600.000
Lucknow,2.472.011
Nagpur,2.228.018
Indore,1.837.041
Patna,1.599.920
Bhopal,1.599.914
Ludhiana,1.545.368
Tirunelveli,1.435.844
Agra,1.430.055
Vadodara,1.409.476
Gorakhpur,1.324.570
Nashik,1.289.497
Pimpri,1.284.606
Kalyan,1.262.255
Thane,1.261.517
Meerut,1.223.184
Nowrangapur,1.220.946
Faridabad,1.220.229
Ghaziabad,1.199.191
Dombivli,1.193.000
Rajkot,1.177.362
Varanasi,1.164.404
Amritsar,1.092.450
Allahabad,1.073.438
Visakhapatnam,1.063.178
Teni,1.034.724
Jabalpur,1.030.168
Haora,1.027.672
Aurangabad,1.016.441
Shivaji Nagar,1.000.000
Solapur,997.281
Srinagar,975.857
Chandigarh,960.787
Coimbatore,959.823
Jodhpur,921.476
Madurai,909.908
Guwahati,899.094
Gwalior,882.458
Vijayawada,874.587
Mysore,868.313
Ranchi,846.454
Hubli,840.214
Jalandhar,785.178
Thiruvananthapuram,784.153
Salem,778.396
Tiruchirappalli,775.484
Kota,763.088
Bhubaneshwar,762.243
Aligarh,753.207
Bareilly,745.435
Moradabad,721.139
Bhiwandi,707.035
Raipur,679.995
Gorakhpur,674.246
Bhilai,625.138
Jamshedpur,616.338
Borivli,609.617
Cochin,604.696
Amravati,603.837
Sangli,601.214
Cuttack,580.000
Bikaner,576.015
Warangal,557.802
Bhavnagar,554.978
Nanded,550.564
Raurkela,536.450
Guntur,530.577
Dehra Dun,522.081
Bhayandar,520.301
Durgapur,518.872
Ajmer,517.911
Ulhasnagar,516.584
Kolhapur,516.142
Shiliguri,515.574
Bilimora,510.879
Karol Bagh,505.241
Asansol,504.271
Jamnagar,492.056
Saharanpur,484.873
Gulbarga,483.615
Bhatpara,483.129
Jammu,465.567
Kurnool,460.184
Ujjain,457.346
Ramgundam,452.261
Shyamnagar,441.956
Nangi,440.894
Kozhikode,439.922
Malegaon,435.362
Davangere,435.128
Jalgaon,429.298
Akola,428.857
Belgaum,428.720
Gaya,423.692
Udaipur,422.784
Korba,419.146
Bokaro,418.533
Mangalore,417.387
Jhansi,412.927
Thoothukudi,410.760
Nellore,404.158
Tiruppur,397.521
Kollam,394.163
Panihati,378.705
Ahmadnagar,367.140
Dhulia,366.980
Bhagalpur,361.548
Punasa,350.000
Muzaffarnagar,349.706
Latur,348.967
