City,Population
Caracas,3.000.000
Maracaibo,2.225.000
Maracay,1.754.256
Valencia,1.385.083
Barquisimeto,809.490
Ciudad Guayana,746.535
Barcelona,424.795
Maturin,410.972
Puerto La Cruz,370.000
Petare,364.684
Barinas,353.442
Turmero,344.700
Ciudad Bolivar,338.000
Merida,300.000
Alto Barinas,284.289
Santa Teresa del Tuy,278.890
Cumana,257.783
San Cristobal,246.583
Nuestra Senora del Rosario de Baruta,244.216
Mucumpiz,215.259
Cabimas,200.818
Coro,195.227
Guatire,191.903
Cua,182.558
Guarenas,181.612
Puerto Cabello,174.000
Ocumare del Tuy,166.072
Guacara,151.752
El Tigre,150.999
El Limon,148.247
Acarigua,143.704
Los Teques,140.617
Punto Fijo,131.784
Charallave,129.182
Palo Negro,128.875
Cagua,119.033
Anaco,117.596
Calabozo,117.132
Guanare,112.286
Carupano,112.082
Ejido,106.915
Catia La Mar,106.822
Mariara,105.486
Carora,93.788
Valera,93.756
Yaritagua,89.662
Valle de La Pascua,89.080
San Juan de los Morros,87.739
Porlamar,87.120
La Victoria,87.045
Tinaquillo,82.145
El Cafetal,80.029
San Fernando de Apure,78.779
San Carlos,77.192
San Felipe,76.766
Villa de Cura,76.614
Araure,73.054
Guigue,71.530
La Villa del Rosario,65.011
Chacao,64.609
San Antonio de Los Altos,63.873
Machiques,62.968
San Jose de Guanipa,62.128
El Vigia,59.092
Caucaguita,59.000
Punta Cardon,58.926
Los Dos Caminos,58.168
El Hatillo,57.591
La Dolorita,56.846
San Carlos del Zulia,56.582
Upata,53.685
El Tocuyo,53.099
Maiquetia,52.564
Caucaguito,52.556
Puerto Ayacucho,52.526
Rubio,51.568
Tucupita,51.534
San Mateo,50.401
Chivacoa,45.904
Moron,44.308
Lagunillas,44.257
San Joaquin,41.630
Quibor,41.526
Zaraza,41.483
Carrizal,40.618
Altagracia de Orituco,40.052
Gueiria,40.000
Tacarigua,39.205
Colon,38.233
Trujillo,38.110
Caraballeda,37.824
La Asuncion,35.084
Los Rastrojos,34.636
Barinitas,34.397
Las Tejerias,33.320
Cantaura,33.040
San Antonio del Tachira,32.458
Santa Rita,31.810
Guasdualito,30.860
Nirgua,30.188
Santa Elena de Uairen,29.795
Juan Griego,28.256
Villa Bruzual,27.993
Tariba,27.432
La Fria,27.077
La Guaira,25.259
Tucacas,12.500
Chichiriviche,12.500
