City,Population
Bogota,7.674.366
Cali,2.392.877
Medellin,1.999.979
Barranquilla,1.380.425
Cartagena,952.024
Cucuta,721.398
Bucaramanga,571.820
Pereira,440.118
Santa Marta,431.781
Ibague,421.685
Bello,392.939
Pasto,382.236
Manizales,357.814
Neiva,352.855
Soledad,342.556
Villavicencio,321.717
Armenia,315.328
Soacha,313.945
Valledupar,308.237
Itaguei,281.853
Monteria,272.420
Sincelejo,261.187
Popayan,258.653
Floridablanca,252.267
Palmira,247.986
Buenaventura,240.387
Barrancabermeja,191.403
Dosquebradas,179.583
Tulua,165.501
Envigado,163.007
Cartago,134.827
Maicao,130.348
Florencia,130.337
Girardot City,130.289
Sogamoso,126.551
Guadalajara de Buga,118.004
Tunja,117.479
Giron,108.466
Malambo,101.534
Magangue,100.313
Facatativa,94.611
Riohacha,92.431
Duitama,92.040
Zipaquira,91.235
Fusagasuga,88.820
Cienaga,88.311
Tumaco,86.713
Apartado,86.438
Piedecuesta,86.387
Montelibano,85.000
Ocana,83.511
La Dorada,81.950
Ipiales,77.729
Quibdo,75.104
Aguachica,73.360
Yumbo,71.436
Arauca,69.264
Sabanalarga,68.535
Chinchina,68.512
Caldas,65.565
Villa del Rosario,64.951
Chia,64.569
Rionegro,62.291
Calarca,62.170
Yopal,61.029
Sahagun,59.188
Fundacion,59.175
Los Patios,58.661
San Andres,58.257
Caucasia,58.034
Santa Rosa de Cabal,57.928
Espinal,56.213
Turbaco,56.171
Cerete,55.513
El Banco,54.522
Funza,54.421
Pitalito,53.685
Puerto Tejada,53.674
Pamplona,53.587
Agustin Codazzi,51.478
Turbo,50.508
Madrid,50.437
Arjona,50.405
La Estrella,49.386
Copacabana,49.169
Plato,48.606
Chigorodo,48.443
El Carmen de Bolivar,47.957
Florida,47.173
Chiquinquira,45.294
Jamundi,44.833
Pradera,44.630
Baranoa,44.078
Piendamo,44.000
Sevilla,41.612
Santander de Quilichao,40.798
El Bagre,40.798
Acacias,40.627
Lorica,40.605
Segovia,39.938
Corozal,39.800
El Cerrito,38.390
Payande,37.496
Planeta Rica,37.297
La Ceja,36.584
San Marcos,36.549
Montenegro,36.499
Villamaria,35.302
Sabaneta,34.172
Puerto Berrio,33.983
La Virginia,33.835
San Gil,33.592
Pivijay,33.492
San Onofre,32.957
Caicedonia,32.417
Granada,32.365
Belalcazar,31.800
Quimbaya,31.391
Mompos,30.861
San Luis de Since,30.768
Puerto Asis,29.782
Leticia,29.666
San Juan Nepomuceno,29.619
Morales,29.617
Garzon,29.451
Tame,29.099
Zarzal,28.761
El Charco,28.673
Libano,28.211
Honda,28.158
Palmar de Varela,28.084
Aracataca,27.704
Roldanillo,27.561
Santiago de Tolu,27.390
Puerto Boyaca,27.310
La Tebaida,27.098
Mosquera,27.005
San Juan del Cesar,26.848
